"Name";"Department";"Institution";"Program";"Title";"Term";"amount"
"Selouani, Sid-Ahmed SA";"Department Campus de Shippagan";"Moncton";"RGPIN";"Speech recognition and 
understanding using cloud resources and soft computing in RFID 
deployment services and online playing games";"1";14000
"Sheffer, Alla A";"Department Computer Science";"British Columbia";"RGPIN";"Creation of Detailed Virtual Shapes: Foundations and Tools";"5";52000
"Sheffer, Alla A";"Department Computer Science";"British Columbia";"EQPEQ";"User Driven Modeling of Detailed Shapes";"1";33220
"Shiri-Varnaamkhaasti, Nematollaah N";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Parametric Uncertain Database Management Systems";"1";14000
"Sillito, Jonathan JP";"Department Computer Science";"Calgary";"RGPIN";"Computational Science and Engineering and Source Code Evolution";"5";17000
"Sled, John JG";"Department Medical Biophysics";"Toronto";"RGPIN";"Computational Methods for the Analysis of Cerebral Vasculature";"5";22000
"Smid, Michiel M";"Department Computer Science, School of";"Carleton";"RGPIN";"Optimization Problems in Computational Geometry";"5";34000
"Smyth, William W F";"Department Computing and Software";"McMaster";"RGPIN";"Regularities in Strings: New Combinatorial Properties, More Efficient Algorithms, Applications";"5";17000
"Srinivasan, Venkatesh V";"Department Computer Science";"Victoria";"RGPIN";"Information Extraction from Interconnected Data: An Algorithmic Study";"5";22000
"Stacho, Ladislav L";"Department Mathematics";"Simon Fraser";"RGPIN";"Theoretical aspects and algorithms for architectural design and communication in current networks";"5";28000
"Stashuk, Daniel DW";"Department Systems Design Engineering";"Waterloo";"RGPIN";"Decision Support for Clinical Neurophysiology";"5";17000
"Stevenson, Suzanne A";"Department Computer Science";"Toronto";"RGPIN";"Probabilistic Approaches to Learning the Semantics and Syntax of Words";"5";34000
"Stewart, James AJK";"Department Computing, School of";"Queen's";"RGPIN";"Advances in Computer Assisted Mosaic Arthroplasty";"5";34000
"Stuerzlinger, Wolfgang W";"Department Computer Science and Engineering";"York";"RGPIN";"Touch the Third Dimension: Simple-To-Use Three-Dimensional User Interfaces";"1";14000
"Suen, Ching CY";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Error Reduction in Handwriting Recognition";"5";34000
"Szepesvari, Csaba CS";"Department Computing Science";"Alberta";"RGPIN";"Interactive online learning";"5";42000
"Szpakowicz, Stan S";"Department Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Making sense of semantic relations";"5";14000
"Tahvildari, Ladan L";"Department Electrical & Computer Engineering";"Waterloo";"RGPIN";"A Context-Aware Software Adaptation Framework";"5";22000
"Tang, Anthony AHT";"Department Computer Science";"Calgary";"RGPIN";"Collaboration with personal devices in digital workrooms";"5";22000
"Tappenden, Andrew AF";"Department Computing Science";"King's University College";"RGPIN";"Automated Testing of Web Services and Service-Oriented Computing";"5";19000
"Toman, David D";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Ontology-based Data Access";"5";28000
"Trappenberg, Thomas TP";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Integrated learning systems that anticipate";"5";14000
"Trefler, Richard RJ";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Reactive Program Analysis From The Ground Up";"5";17000
"Tremblay, Guy G";"Department Informatique";"Quebec a Montreal";"RGPIN";"Protocoles de comportement pour composants et services";"5";14000
"Tzanetakis, George G";"Department Computer Science";"Victoria";"RGPIN";"Time Information for Multimedia Processing and Analysis";"5";28000
"van Beek, Peter P G";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Constraint Programming for Probabilistic Reasoning and Compiler Optimization";"5";28000
"Veksler, Olga O";"Department Computer Science";"Western Ontario";"RGPIN";"Energy Minimization Approach to Pixel Labeling Problems in Computer Vision";"5";42000
"Verbrugge, Clark L";"Department Computer Science, School of";"McGill";"RGPIN";"Optimizations and Designs for Practical Improvements to Program Performance on Multicore Systems";"5";28000
"Vertegaal, Roel RPH";"Department Computing, School of";"Queen's";"EQPEQ";"Development of Organic User Interfaces for Three Dimensional Display Surfaces";"1";39621
"Vetta, Adrian R";"Department Mathematics and Statistics";"McGill";"RGPIN";"Computation in Games and Networks";"5";42000
"Wang, Lingyu LW";"Department Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"A Vulnerability-Centric Approach to Network Security Metrics";"5";22000
"Ward, Paul PAS";"Department Electrical & Computer Engineering";"Waterloo";"RGPIN";"Scalable Self-Healing Systems";"5";22000
"Warfield, Andrew AK";"Department Computer Science";"British Columbia";"RGPIN";"Stability, Security, and Privacy in Large-Scale Information Systems";"5";34000
"Wassyng, Alan A";"Department Computing and Software";"McMaster";"RGPIN";"Structuring Assurance Cases to Facilitate Effective Certification of Medical Devices";"5";22000
"Watt, Stephen SM";"Department Computer Science";"Western Ontario";"RGPIN";"Computer Algebra Domains and Interfaces";"5";34000
"White, Anthony ARP";"Department Computer Science, School of";"Carleton";"RGPIN";"The Application and Analysis of Social Structures in Trust, Influence and Search Problems in Agent Societies";"5";14000
"Wildes, Richard R";"Department Computer Science and Engineering";"York";"RGPIN";"Early Representation and Analysis of Visual Spacetime";"5";22000
"Winter, Horst Michael HM";"Department Computer Science";"Brock";"RGPIN";"Relational Methods in Software Development";"5";14000
"Wong, Andrew AK";"Department Systems Design Engineering";"Waterloo";"RGPIN";"Pattern Discovery and Analysis for Mixed-Mode Data and Sequences: Theory and Applications";"5";22000
"Wong, Bernard B";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Performance Isolation in Shared Cloud-based Storage Systems";"5";19000
"Woodham, Robert RJ";"Department Computer Science";"British Columbia";"RGPIN";"Analysis and Interpretation of Visual Motion";"5";14000
"Yan, Yuhong Y";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Automatic Integration of Service Oriented Systems";"5";17000
"Yao, JingTao JT";"Department Computer Science";"Regina";"RGPIN";"Machine Learning Methods for Multi-criteria Decision Making";"5";14000
"Yao, Yiyu YY";"Department Computer Science";"Regina";"RGPIN";"Granular Computing and Its Applications in Information Retrieval Support Systems";"5";28000
"Yu, Xiaohui X";"Department Information Technology, School of";"York";"RGPIN";"Supporting Keyword Search over Structured Data";"5";22000
"Yuan, Xiaobu XY";"Department Computer Science, School of";"Windsor";"RGPIN";"A Study of Collaborative Planning and Its Application in Software Customization";"5";14000
"Zaïane, Osmar OR";"Department Computing Science";"Alberta";"RGPIN";"Bolstering pattern mining by taking into account relationships and uncertainty in data";"5";22000
"Zeh, Norbert R";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Algorithms and data structures for memory hierarchies";"5";28000
"Zhang, Huajie H";"Department Computer Science, Faculty of";"New Brunswick";"RGPIN";"Transfer learning for Bayesian networks";"5";17000
"Zhao, Jiying J";"Department Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Advanced Keying, Compression and Watermarking of 3D Video Signals";"5";22000
"Zhu, Haibin H";"Department Computer Science";"Nipissing";"RGPIN";"Online Auction-Based Scheduling of Health Care Services for Outpatients";"1";14000
"Zima, Evgueni EV";"Department Physics and Computer Science";"Wilfrid Laurier";"RGPIN";"Alternative algorithms for accelerated symbolic and numeric summation";"5";17000
"Zincir-Heywood, Nur A N";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Mission Aware Data Analysis";"5";28000
"Zou, Ying Y";"Department Electrical and Computer Engineering";"Queen's";"RGPIN";"Managing the Co-Evolution of Software Applications with Business Requirements";"5";34000
