00138AB3ED7A8C058825782A00740AE4&count=5;AL'S GOURMET FALAFEL;181 LePage Road;
4268547CDAB5A46C882569B7000CE2AB&count=5;B & V MARKET;3198 Quadra Street;
4277950AAEEB6782882570F3006F1416&count=5;GLO EURO PUB & GRILL, PUB;104 2940 Jutland Road;
427D88F5E046FDBB882574B9006E1987&count=5;TIM HORTONS;280 3147 Douglas Street;
435AFAE43FAD3C08882578E10061C7EE&count=5;ROMEO'S;1703 Blanshard Street;
44039448501517008825796D00751144&count=5;UPSTAIRS CABARET;15 Bastion Square;
441234623D5EDCE988257ABC005EDA16&count=5;AMART, SUSHI;652 Yates Street;
442B4998C401BD51882574D7006FF8C5&count=5;BLENZ COFFEE HOUSE;G1 1001 Douglas Street;
443E067627F1FC09882578A90065116D&count=5;QOOLA FROZEN YOGURT BAR;550 Yates Street;
448926842E67E05B882569B7000CE402&count=5;PHARMASAVE;110 1641 Hillside Avenue;
45186CB649AA9E0D8825773E007F5713&count=5;JARED'S CRÊPERIE;1431 Braefoot Close;
4563BDD1E5C00B35882573A7006570D9&count=5;FORT STREET SHELL SELECT;1321 Yates Street;
456A7D881955F68D882569B7000CE469&count=5;COLONIAL CAFE;270 Government Street;
466427FF0944FEA4882576E2007630D1&count=5;DUTCH BAKERY;718 Fort Street;
46AE264D9A4FFAEA882579F7007DD45C&count=5;UCHIDA EATERY;A22 - 633 Courtney Street;
46BA127F6245446D88257738005D7612&count=5;OPPORTUNITIES COLOMBIA;855 Langford Parkway;
472E61B4A2A2F07688257574005C77F0&count=5;DEVOUR FOOD;762 Broughton Street;
47AF97C7E6AF8D7D88256F94007BF17C&count=5;SAVE ON FOODS MEMORIAL CENTRE - CONCESSION 2;1925 Blanshard Street;
482AD2C98E4D19A6882579F7005A4E83&count=5;TAMALES DON CARLOS;304 - 2535 Cadboro Bay Road;
48320A4D6865EC1A88257206005DC9AE&count=5;JUGO JUICE;K4 3147 Douglas Street;
485239A70B13CEF988257B1200013127&count=5;ALPINE FLORIST & FOOD MARKET, STORE;821 Fort Street;
48BFDB5D558433C1882569F8007E3A0B&count=5;BUTTERDELL CAFE 2000;3110 Douglas Street;
490190BF7F95FB4588257912006775B2&count=5;VIHA - GLENGARRY HOSPITAL;1780 Fairfield Road;
4989D7433DBE3E848825773E00583695&count=5;LANGOS BY LOUIE;Capital Regional District;
4A08E50B07201B70882572F8007C4E8F&count=5;HOTTIES HOTDOGS;250 Upper Ganges Road;
4A52D25C1F2BB1E0882569B7000CE34B&count=5;NORWAY HOUSE;1110 Hillside Avenue;
4ACC5311484F26EA882579C60079FA1D&count=5;ETHNIC RE CREATIONS;Unit 2 555 Hillside Avenue;
4B20088465EE0886882576B90068A161&count=5;ORIGIN GLUTEN-FREE BAKERY;1525 Pandora Avenue;
4B27598A01D5C49988257906008079D6&count=5;TEMPLE EVENT & CATERING CENTRE;525 Fort Street;
4B2ACADECCD9511C882569B7000CE2F3&count=5;JBI PUB;270 Government Street;
4B3F788659499706882569B7000CE496&count=5;CASCADIA BAKERY;1812 Government Street;
4B55898073A4637288256A9600709C0D&count=5;F. A. S. SEAFOOD PRODUCERS;27 Erie Street;
4BBEAA8603A0A39F882569B7000CE412&count=5;AMICA AT SOMERSET HOUSE, KITCHEN;540 Dallas Road;
4D5C2E38C58939478825750400763F8C&count=5;WANNAWAFEL #1;913 Dunn Avenue;
4DE77FC6736C7C8C8825724C0069253C&count=5;SEEDS OF LIFE NATURAL FOODS;1316 Government Street;
4E732E9259056624882571BE00642904&count=5;MACCHIATO;1002 Broad Street;
4E7628A338367B63882569B7000CE3F9&count=5;ROYAL ATHLETIC PARK CONCESSION 3;1014 Caledonia Avenue;
4E7D1C7733A2B2BE8825798E00799E92&count=5;MACCHIATO CAFFE;780 Johnson Street;
4E7F7A944E1CE516882569B7000CE431&count=5;BLUE CRAB BAR;146 Kingston Street;
4EB5A884A757C653882576AB007F548E&count=5;BROWNS SOCIAL HOUSE;809 Douglas Street;
4FA23FE6DEB5D9CB88257A6700562155&count=5;FORUM SEAFOOD RESTAURANT;612 Fisgard Street;
4FB3F42926A73FB1882569B7000CE369&count=5;ITALIAN BAKERY;3197 Quadra Street;
4FE38B96C9D5C010882569B7000CE344&count=5;FERRIS' GRILL;536 Yates Street;
504D55899B2B92DA882578950059BBD5&count=5;TABOO GOURMET CHEESECAKE;400 2950 Douglas Street;
5070760164328283882575EF0073F028&count=5;THE OYSTER AT PESCATORES;614 Humboldt Street;
50A0B4D20BEEE22888257706005B161D&count=5;ZAMBRI'S RESTAURANT;820 Yates Street;
510E3757783D0287882578BC006A3AC9&count=5;SHINE CAFE;1320 Blanshard Street;
510EA62E38E6B04F88256EBB006823F3&count=5;GOLDEN GATE CHINESE RESTAURANT;456D Gorge Road East;
51A6FA64E759A9D8882573610057DFBF&count=5;A & W;FC 7 3147 Douglas Street;
52675E8F3C47E95A882569B7000CE406&count=5;WELLESLEY VICTORIA, STORE;2800 Blanshard Street;
5290BE1A0467649B88257B1600612FDA&count=5;MAX'S DONUTS;2207 Millstream Road;
5301955CC56A4A9588257A4500761137&count=5;CORA BREAKFAST & LUNCH;850 Douglas Street;
532D8A2E61C33AD9882573A20062021B&count=5;HECKLERS BAR & GRILL (KITCHEN);123 Gorge Road East;
53C20A9A6811E2EF882577A6005841B2&count=5;THRIFTY FOODS, SUSHI BAR;1580 Hillside Avenue;
5470B29ADD3C4AA088257B6000646D1A&count=5;TACOFINO;3237 East Hastings Street;
54C4EED12C4B96AA882569B7000CE441&count=5;LURE BAR;45 Songhees Road;
5510D98FEB86F43088257A670073BDB0&count=5;KETTLE CORN;1327 Slater Street;
555A49456668AEC088256D8A007DBF34&count=5;BLAIR MART, STORE;924 Pandora Avenue;
55A539E1F67386FB88257841006A39D0&count=5;LA TAQUISA;120 - 176 Wilson Street;
55B237EABE58CD4888256EF9005818C5&count=5;SOUR PICKLE CAFE;1623 Store Street;
569CAA013B1F78828825771C00584703&count=5;UMI SUSHI EXPRESS;FC2 - 3147 Douglas Street;
5796A22720B04F38882569B7000CE4E2&count=5;PANAGOPOULOS PIZZA PLACE;1108 Yates Street;
57CFB09756DC032188257A7E0073C534&count=5;ROSEWOOD INN;595 Michigan Street;
5801ED864927715A882570E0007C180A&count=5;EMPIRE CAPITAL 6;805 Yates Street;
585160002BED86F1882570150074E447&count=5;GRILLED FOR YOU BBQ;Lower Causeway;
58B6253517AEEB738825765F0062C534&count=5;COOK N' PAN POLISH DELICATESSEN;4 - 1725 Cook Street;
58E02229D0E07DA98825762700767438&count=5;ROYAL KEBAB & GRILL;2656 Quadra Street;
58EB842540EB41D0882572AE006B1C24&count=5;FERNWOOD INN;1302 Gladstone Avenue;
593679596C70F80D882569B7000CE9C6&count=5;ST. ANDREW'S PRESBYTERIAN CHURCH;680 Courtney Street;
597E2E55D2AF2DB7882573520067AD1E&count=5;THRIFTY FOODS #17, MEAT & FISH;1580 Hillside Avenue;
5A35204620DB6637882569B7000CE35B&count=5;WENDY'S;776 Bay Street;
5A7E153A75B36C91882570670073D214&count=5;CAFE CASABLANCA;2524 Bridge Street;
5A7F90CDF67BD79288257A5A0055465B&count=5;GREEN WASABI;1692 Douglas Street;
5A925BF675CC8FF0882569B7000CE408&count=5;SWAN'S PUB KITCHEN; 506 Pandora Avenue;
5A97B8D274DC2BE7882571E100818041&count=5;LITTLE THAI PLACE;1839 Cook Street;
5AA082E472119BAF88256DB900654BC3&count=5;IRISH TIMES PUB;1200 Government Street;
5AD12FA5EF72A59A88257936005B7DE5&count=5;CAPRICORN CAFE;888 Fort Street;
5ADE2B2006BB22A0882575D20062BD7D&count=5;FISH STORE, TAKE OUT;310 St. Lawrence Street;
5B341E6AB1B0096A882569B7000CE393&count=5;ROMEO'S PLACE;1581 Hillside Avenue;
5B3C2DD74284F774882578C40067E7F0&count=5;SUPERIOR PIZZA;1B - 425 Simcoe Street;
5B5B7582B53F7F1A882569B7000CE2EB&count=5;ARMY, NAVY, AIR FORCE;751 View Street;
5C09466EC5C78CA5882569B7000CE7C3&count=5;SAVE ON FOODS #973, MEAT;172 Wilson Street;
5C75A7A4EDC5511F882578E200631099&count=5;OSAKA SUSHI VICTORIA;1951 Oak Bay Avenue;
5C93E6A86933D39888257076007EF34C&count=5;SAVE ON FOODS MEMORIAL CENTRE CLUB LOUNGE;1925 Blanshard Street;
5CA3CA1445108EE6882574C90075089A&count=5;TIM HORTONS;1410 Blanshard Street;
5D5FB2509DE5A2F288256B3B0080D48E&count=5;QUADRA MOHAWK;2100 Quadra Street;
5D6A71C94157ABDF8825788F00756EF0&count=5;THE BLACK HAT;1005 Langley Street;
5DB0F416BE7B056F8825786A007242E5&count=5;WEST COAST WHALE TAILS;1805 Hartwood Place;
5E294C30A7ECC23088257A700060603F&count=5;THE HOT & COLD CAFE;1 - 313 Cook Street;
5E94D12786B1B02088257A98005751BB&count=5;MARK'S BIG DOGS & BURGERS;675 Belleville Street;
5EAB72F787282C3A8825753D007A03F8&count=5;SUBWAY SANDWICHES;1324 Douglas Street;
5EBC683FAFBEAB9D882573DA006506EE&count=5;STARBUCKS COFFEE #4936;1 1689 Government Street;
5F19B0BDFDAFA364882579F20072175A&count=5;SIDE DISH RESTAURANT;1000 Langley Street;
5F39128F94B57DD788257A45007B2FDF&count=5;MALEA COFFEE;769 Fort Street;
600145F61ADFC22C88256BF4007CC063&count=5;GOSWORTH FISH & CHIPS;3009 Gosworth Road;
604364A2D6CC4C14882569B7000CE2E1&count=5;CHATEAU VICTORIA VISTA 18;740 Burdett Avenue;
60574E93196C5891882569B7000CE6DF&count=5;TAPA BAR RESTAURANT;620 Trounce Alley;
607A51ED6663C82588257A8E005AB1CF&count=5;CHEF'S QUEST CAFE;760A Yates Street;
60869CDC8F9663B88825755F005D16D0&count=5;PALAGIO;165 2950 Douglas Street;
609880C0EF389E9E88257B44007CCBAB&count=5;CJAY'S GRILL;489 Hansen Avenue;
60F1DC565271A0B6882569B7000CE4AF&count=5;CHANDLERS;1250 Wharf Street;
60FF3E1CB93B3D0F882571FC005CE89C&count=5;CRIDGE VILLAGE SENIORS CENTRE ; 1307 Hillside Avenue;
61208A94E8816B37882579E5007E2E80&count=5;ROLY POLY RICE BALL;208 Stevens Road;
6146569A3DD42384882569B7000CE9B2&count=5;SALVATION ARMY, THE;525 Johnson Street;
6154D102250E0992882578DB006A018F&count=5;LE PETIT DAKAR;711 Douglas Street;
617589E55A4D5E78882577C80071C566&count=5;THE LONDON CHEF;947 Fort Street;
61BFB9D6355479AE882569B7000CE478&count=5;STARBUCKS COFFEE CO. #190;801 Fort Street;
61D92E19C6232EB6882573530078053E&count=5;THRIFTY FOODS #6, BAKERY;475 Simcoe Street;
61F7FAC00311103288257A4100745DC3&count=5;NOEL'S FRY CART;4 - 4341 Crownwood Lane;
620AC252B033D9EB882579DE0067702E&count=5;GOOD SEED GRAIN MERCHANTS;3 625 Hillside Avenue;
622FA958A6039A5E882569B7000CE4C9&count=5;APPLE TREE RESTAURANT; 85 1644 Hillside Avenue;
624CE7F5E869E77A88257B430057F023&count=5;GABBY'S KETTLE CORN;762 Middleton Street;
62767FEBF481E465882569B7000CE9B4&count=5;MUSTARD SEED STREET CHURCH;625 Queens Avenue;
628E10590A1AD9F4882569B7000CE95D&count=5;WHITE SPOT RESTAURANT;710 Caledonia Avenue;
62D0D54E16DA3D4A882569B7000CE65D&count=5;DEBBRA'S CATERING;510 Cecelia Road;
62E978BEDB05D6AB882569B7000CE9C2&count=5;ST. PATRICKS PARISH, KITCHEN;2060 Haultain Street;
63272E26FBA6736088257896007060FF&count=5;NEW YORKER;4484 Lindholm Road;
6377D21A95F6563E882569B7000CE679&count=5;ROSE MANOR;857 Rupert Terrace;
639B89C9C8EE84848825726800692498&count=5;STAGE WINE BAR;1307 Gladstone Avenue;
63C7C79026ABCE9B882578870063A578&count=5;CARLOS GRILL;9816 Fourth Street;
63D16444077A7EFF88257A230079C751&count=5;PHO VUONG RESTAURANT;622 Fisgard Street;
64C8E1100253C738882569B7000CE9F6&count=5;LURE SEAFOOD RESTAURANT; 45 Songhees Road;
64CB41F5D390624488257AF700783FE7&count=5;ALPINE FLORIST & FOOD MARKET, TAKE OUT;821 Fort Street;
6526114D634DF1EB88256FE4005D96AA&count=5;HERON ROCK BISTRO;4 - 435 Simcoe Street;
65555D092F28651A88257337007A50AA&count=5;VICTORIA HARBOUR HOUSE RESTAURANT;607 Oswego Street;
65AB42723F264BD18825742D007DDF1C&count=5;SELKIRK PLACE;385 Waterfront Crescent;
65ABA1F51496615A88256F94007A9127&count=5;SAVE ON FOODS MEMORIAL CENTRE - CONCESSION 1;1925 Blanshard Street;
65FF2A4435C182AA882577B300680DE8&count=5;7-ELEVEN #34579;813 Douglas Street;
664677CF9747521B8825735200707025&count=5;THRIFTY FOODS #1, BAKERY;1590 Fairfield Road;
668C26030F792DCF882569B7000CE337&count=5;DAIRY QUEEN;2350 Douglas Street;
6696A2EB663AAD4F882573B1007DB012&count=5;CREATING OCCASIONS;776 Spruce Avenue;
66B3C1B7F4AC02A888257B5D00638050&count=5;V & VI GREEK COMMUNITY MOBILE;4648 Elk Lake Drive;
66BF68E9B42119B888256ED70055CDC5&count=5;VIHA - ROYAL JUBILEE TIM'S #63244;1952 Bay Street;
66D97FBAEDBEF2F6882569F20067106B&count=5;SUSHI PLUS RESTAURANT;766 Yates Street;
67096B13223451AD88257922007E036A&count=5;THE ENGLISH SWEET SHOP;736 Douglas Street;
673E9743FD63A92288256E7B007BC756&count=5;STYLES APARTMENTS #9;1230 Styles Street;
67B81CEB2345A1E5882569B7000CE874&count=5;SHARK CLUB BAR & GRILL;2852 Douglas Street;
67B862E09608C35988256E4C006B641D&count=5;MR. MIXER SHOP;633 Courtney Street;
67FB5DC3E76CDD3A8825717700791C29&count=5;SECOND SLICE PIZZA #1;1322 Douglas Street;
683285CEF3E4110E882569B7000CE719&count=5;SHELMARIE REST HOME;630 Foul Bay Road;
6839E36707B6FFBD8825785A00573B85&count=5;MOKA HOUSE ON HILLSIDE;103 1633 Hillside Avenue;
683EBE0C0CF218E7882579F3006E541A&count=5;THE LEMON;3023 Westdowne Road;
68BE612CDD95DC94882569B7000CE6F3&count=5;STARBUCKS COFFEE CO. #4326;1301 Government Street;
694A2B3AB5681C08882579D7006877A6&count=5;MAMA ROSIE'S KITCHEN;2188 Bradford Avenue;
69831E2F7C54E7B88825745000750312&count=5;HONG KONG WEST;1807 Fort Street;
6987A025B09A5C8888256DC60062B7B1&count=5;MOUNT EDWARDS COURT;1002 Vancouver Street;
69D36A1615B3F1DB88256D8A007E5DA7&count=5;STARBUCKS COFFEE CO. #4500;230 - 1150 Douglas Street;
6A44557838477E0C882569B7000CE2EC&count=5;BARTHOLOMEW'S;777 Douglas Street;
6A5D964D5C03932D88257B570074DBFD&count=5;DONUT DELIGHTS;1071 Wain Road;
6ACC0762B12C1C18882578D20069403E&count=5;GOOD EARTH CAFE;1952 Bay Street;
6B8C021B2792932A882569B7000CE6D5&count=5;SUBWAY;1568 Fort Street;
6BC940EB40D0C779882570B200647901&count=5;DON'S FOOD MARKET;99 Menzies Street;
6BD9EEFF48B1DC5B88257A3F005BE1C3&count=5;LIL YELLOW CART;2534 Bellbarbie Crescent;
6C0BA0F5DEB3422F882569B7000CE67E&count=5;VICTORIA CHINATOWN CARE CENTRE; 555 Herald Street;
6C29223733EDC78B8825799F007F02D1&count=5;THE MELT RESTAURANT;62A - 1001 Douglas Street;
6C3076D3BD807A3E882569B7000CE888&count=5;BENNY'S BAGELS;212 1644 Hillside Avenue;
6C7D546CA2F9D341882572640070189A&count=5;SOCKEYE SUSHI;726 Johnson Street;
6CB5949253BDFE6D8825788800581772&count=5;SUSHI MATSURI;100 - 239 Menzies Street;
6E12D7B24FD663C38825753E0081CFA4&count=5;EUGENE'S WAREHOUSE/COMMISSARY;4 616 Hillside Avenue;
6E143545D683091088257B28006D89D2&count=5;CATALANO;619 Courtney Street;
6E1CD4BAA385BCBD882575320078F48A&count=5;FRESH;1 415 Dunedin Street;
6E38E3953706192C882569B7000CE71C&count=5;RESTAURANT MATISSE;512 Yates Street;
6E4880BF0E6A8CED882569B7000CE490&count=5;PESCATORE'S FISH HOUSE;614 Humboldt Street;
6E4B1830C6E3289E88257A780072BB69&count=5;TOMLEY'S MARKET - TAKE OUT;716 Johnson Street;
6EC7E81B7AA1F4C2882569B7000CE2F0&count=5;VICTORIA EDELWEISS CLUB BAR;108 Niagara Street;
6ECA906C376B664E88256A7F007B1CF9&count=5;PACIFIC LOUNGE;463 Belleville Street;
6EDCCC35151273F78825757E00788F20&count=5;WATERWAY CAFE;229 Gorge Road East;
6F23C38A99B67BFE882569B7000CE2EA&count=5;UNION CLUB OF BRITISH COLUMBIA; 805 Gordon Street;
6F40ECCA7B608E71882578A3007AC08F&count=5;NOODLECART;1018 Blanshard Street;
6F8661DD482C64B9882569B7000CE44E&count=5;MOUNT ROYAL BAGEL FACTORY;6 - 1115 North Park Street;
6FBA7DFE34103DC5882569B7000CE2B6&count=5;PURDY'S CHOCOLATES;369 3147 Douglas Street;
70913057D499CB6588256A2A007F3D77&count=5;BEACON HILL LITTLE LEAGUE CONCESSION;1594 Fairfield Road;
71127CFBC7E6FC53882569B7000CE9A7&count=5;BOYS & GIRLS CLUB;1240 Yates Street;
715D777F8C922FFC8825743B0076363C&count=5;APPLES TO ORANGES CONSULTING;1110 Caledonia Street;
71A0594FCC421A83882569B7000CE5D7&count=5;NAUTICAL NELLIES RESTAURANT & OYSTER BAR;1001 Wharf Street;
71D3486D5F1073E68825791400753DC6&count=5;SITKA CAFE;570 Yates Street;
71D80B92AEC728E4882569B7000CE8A9&count=5;ROOF TOP BAR;919 Douglas Street;
7211DFB450AB2A9988256FC80075D492&count=5;SOPRANOS KARAOKE & SPORTS BAR KITCHEN;1961 Douglas Street;
721A5FB81E85A0288825756A007B6824&count=5;WHITE SPOT # 643;1871 Fort Street;
726CE872BBAE6E9B88256EF3005FD312&count=5;FIAMO ITALIAN KITCHEN;515 Yates Street;
72881A8F10ABA5B188257394005D0306&count=5;FOUNTAIN RESTAURANT;4 - 2680 Blanshard Street;
72CB947556773CF8882569B7000CE64D&count=5;KIM'S VIETNAMESE RESTAURANT;748 Johnson Street;
73105FA0A16352AF88257A5C0056EA2B&count=5;NORTE STREET FOOD;1308 Gladstone Street;
7312C59B1BD550BD88257A9C007B6583&count=5;BON MACARON PATISSERIE;1012 Broad Street;
7319B12F0228491E882569B7000CE7D6&count=5;OLD SPAGHETTI FACTORY;703 Douglas Street;
7325FD2BF4997552882569B7000CE85A&count=5;MARKET ON YATES, DELI;903 Yates Street;
737ABDE8497CC9BD882569B7000CE7A5&count=5;STARBUCKS COFFEE CO. #4328;140 176 Wilson Street;
73B51768B6C9ACDE882571FB0075DA93&count=5;PARSONAGE CAFE;1 - 1115 North Park Street;
74987EDE919F9D368825774C00678815&count=5;NOEL DONUT CART;105 - 2423 Beacon Avenue;
74D8CDA11FFDE86F882579950074E2C2&count=5;2% JAZZ COFFEE;1 1701 Douglas Street;
74FD780B89D817CF88256BFA007B2B6D&count=5;CHRISTIE'S CARRIAGE HOUSE;1739 Fort Street;
751BEE32CF156A0888257544007F4524&count=5;VIC'S BAR;345 Quebec Street;
75575EFD146DD8F6882569B7000CE336&count=5;DON MEE RESTAURANT;538 Fisgard Street;
75661C1B4A03385A882578D20076DF72&count=5;INGREDIENTS HEALTH FOOD & CAFE;2031 Store Street;
75E77C0E91561A7D88256EF400609C16&count=5;NATIONAL LITTLE LEAGUE CLUBHOUSE;1280 Hillside Avenue;
76BC7A9875940623882569B7000CE9AD&count=5;JAMES BAY COMMUNITY SCHOOL, LUNCH;140 Oswego Street;
76CEE6B5155EC7DE88257AAF0000A47A&count=5;CA VA;1296 Gladstone Avenue;
76F18BD4681F1DAD88257076005F8AB4&count=5;SAVE ON FOODS MEMORIAL CENTRE LOUNGE;1925 Blanshard Street;
7700CA94B913B86088257582005769C5&count=5;NANDOS FLAME GRILL CHICKEN;101 1600 Government Street;
77B828579FEF16EE882569B7000CE302&count=5;OXFORD FOODS;271 Cook Street;
7806A81E433870B288256A9300778D7D&count=5;MINT RESTAURANT;B 1414 Douglas Street;
781BE7B4C7A97DFB88257886005D4E84&count=5;M & J PASTRY ARTS;626 Blanshard Street;
78689667CF29FB408825708200573975&count=5;SAIGON NIGHT;102 - 915 Fort Street;
789912A36445CFA588257A1700644957&count=5;MOXIE'S;1 - 1010 Yates Street;
789D18EEC866FC8B882576CE00695CF4&count=5;AYO EAT;140 560 Johnson Street;
78A2CBB48262B8A88825753A00017B45&count=5;VIC'S STEAKHOUSE & BAR;345 Quebec Street;
79D280EEF0453105882569B7000CE2E0&count=5;PAGLIACCI'S;1011 Broad Street;
79DDA2786009F317882569B7000CE898&count=5;SOL FOOD DELI CAFE CATERING;100 2955 Jutland Road;
79E47BBB66A268BD8825712300616D1B&count=5;TACO TIME;FC3 3147 Douglas Street;
79F380856CA63D0388256CB50061591E&count=5;RATHSKELLER RESTAURANT;1205 Quadra Street;
79FCC519C3C5EEB1882569B7000CE760&count=5;MCGAVIN'S BREAD BASKET;1 770 Bay Street;
7A0ED08B6B356AF888256C2C007552EE&count=5;2% JAZZ ESPRESSO BAR;2631 Douglas Street;
7A177D2193635C0B882574D5007C5A14&count=5;BOULANGERIE FOL EPI;101 - 398 Harbour Road;
7A5AD1D2064D7C4F882569B7000CE9AC&count=5;CENTRAL MIDDLE SCHOOL LUNCH PROGRAM;1280 Fort Street;
7A82747A951B90EA882572CD0061A23D&count=5;THE LOCAL BAR & GRILL;1205 Wharf Street;
7AE7D433D58D9D1B882576AB0060E9AC&count=5;PIZZA ALLNITE;106 2714 Quadra Street;
7B1361E480483064882575C3007F4A0E&count=5;JUDY'S NUTS & COTTON CANDY;Vancouver Island Health Authority;
7B3D9A4BFC2D954E882569F8007E4CD8&count=5;MCPHERSON THEATRE, LOUNGE;3 Centennial Square;
7B50BE2D1BE58513882569B7000CE9EF&count=5;PARLIAMENTARY DINING ROOM; Room 6 - 500 Belleville Street;
7BC441E0CE16101388257AFF00022C58&count=5;PICNIC;1019 Fort Street;
7C0228C0490B4FFC88257999007C07E9&count=5;BON SUSHI;1467 Hampshire Road;
7CA4A018078702C588257744005D3502&count=5;SALLY BUN;1030 Fort Street;
7CBC58EF0448540888257B2D007CD5E3&count=5;DAIDOCO DELI CAFE;2726 Asquith Street;
7D0A5867375B8588882578BD005BBFD7&count=5;EAT;1360 Pandora Avenue;
7DBD4CA9F804425E88256BC700625E36&count=5;AURA;680 Montreal Street;
7DF1058E959D90E2882576B8007FE8F6&count=5;MCDONALD'S ;1200 Douglas Street;
7E709B8B356E2DDE88257B27005C0B29&count=5;COPPER OWL;1900 Douglas Street;
7EBAB8370F42339E88257352006E5B0C&count=5;THRIFTY FOODS #1, DELI;1590 Fairfield Road;
7F98DE74DED67A47882569B7000CE8BE&count=5;QUONLEY'S MARKET, ICE CREAM;1628 Government Street;
8009DA4784D490BF88257A280064FC22&count=5;SHAHRAZAD RESTAURANT;1813 Douglas Street;
8023B392D3D3924E882569B7000CE873&count=5;WILDFIRE BREAD & PASTRY;1517 Quadra Street;
802DBEBF32084786882569B7000CE38A&count=5;HAULTAIN FISH & CHIP CAFE;1127 Haultain Street;
807BF73CC502DDBE882578B0005AB0CC&count=5;HEIST COFFEE COMPANY;727 Courtney Street;
80C5C0919F87CDD0882569B7000CE35D&count=5;SHANGHAI CITY SEAFOOD RESTAURANT;548 Fisgard Street;
80DEC99FE6E61EA288257603006A8637&count=5;MR. TUBE STEAK #125;Store Street;
8138F653CB3A0649882569B7000CE9F7&count=5;OCEAN POINTE RESORT, KITCHEN 1ST; 45 Songhees Road;
81576C5045CBE4D9882569B7000CE462&count=5;MING'S RESTAURANT;1321 Quadra Street;
81A4FCF70A5C3561882575B5006211E6&count=5;TOM & JERRY'S MINI DONUTS;2 - 2418 South Otter Bay Road;
81C12DDC1FBA5E1D88257599007CCE8C&count=5;FOO ASIAN STREET FOOD;769 Yates Street;
81E06DB107049AF2882569B7000CE6E0&count=5;CAFFE FANTASTICO;965 Kings Road;
82355826347A82A488256FD60069B6AD&count=5;THE NOODLE BOX;818 Douglas Street;
826ACDD098408AE1882569B7000CE6F2&count=5;NATIONAL GEOGRAPHIC THEATER;675 Belleville Street;
8285AF269FA71333882569B7000CE2F7&count=5;CLIVES CLASSIC LOUNGE;740 Burdett Avenue;
830ED4CC359C37178825759800646314&count=5;SOUPED UP FOODS;145 - 736 View Street;
832ED0D2E0AE16DB882569B7000CE4C4&count=5;BENT MAST RESTAURANT;512 Simcoe Street;
834E9F8388908FA68825795100699062&count=5;CITY CENTER RESTAURANT;1961 Douglas Street;
83510F279B7D8AAE882569B7000CE99F&count=5;JAMES BAY COMMUNITY CAFE;140 Oswego Street;
836697985C01F5718825789A007963E9&count=5;SALAD LOOP;1012 Government Street;
8366FC2BA894103D882569B7000CE910&count=5;MCDONALD PARK MEN'S FASTBALL LEAGUE;Niagara & Oswego Street;
8377E1495BE4460D882579880064C483&count=5;FAMOSO MARKET SQUARE;128 - 560 Johnson Street;
83A43AF6F414C8E288257AA6006A422D&count=5;BIG ORANGE;312 - 3147 Douglas Street;
83B98ACDC9AB5F0F8825768D00793C5C&count=5;WANNAWAFEL;102 560 Johnson Street;
83BC000C06A07BA988257A0C006FA9E2&count=5;FREDERICO'S EXPRESS;69 560 Johnson Street;
8423AEDF0AF5820D88257AD10077C903&count=5;FAIRMONT EMPRESS - BENGAL KITCHEN;721 Government Street;
84730DE9DE71CFA6882569B7000CE341&count=5;JOHN'S PLACE;723 Pandora Avenue;
849371B6BDAD1641882577E600618E8C&count=5;FAIRWAY MARKET - SUSHI VILLAGE FOODS;2635 Quadra Street;
84D49295B3222ACC882569B7000CE5D6&count=5;GATHERING PLACE CAFE, THE;832 Cormorant Street;
851E0612CFC35099882571CD00716C11&count=5;MR. TUBE STEAK #166;Capital Regional District;
85F481D74E05149D882571A100611FFD&count=5;OUR PLACE SOCIETY, KITCHEN;919 Pandora Avenue;
85FC8D43D2853365882569B7000CE477&count=5;STARBUCKS COFFEE CO. #192;316 3147 Douglas Street;
86305E6088FF972E8825744F005CE93A&count=5;KHALSA DIWAN SOCIETY OF VICTORIA;1210 Topaz Avenue;
866E1DD9614C475388256D51006101C1&count=5;BEAN BANDITS ON BROUGHTON;711B Broughton Street;
86A0C111C6D588B188256FB3007A3FCB&count=5;LADY MARMALADE;608 Johnson Street;
86A15259B96263E3882572F4005B06AE&count=5;KOFFI;1441 Haultain Street;
86A5AC0815EA50E5882569B7000CE2F2&count=5;JAMES BAY ATHLETIC, LOUNGE;205 Simcoe Street;
86C6BBBDCC10AC35882572C00059DEF4&count=5;QUADRA FILIPINO MART;2008 Douglas Street;
86DF0DD8AC59EAD888257AC5006EDEDC&count=5;JT'S ISLAND CAFÉ;18A Bastion Square;
8707BD0B65E14FFA88257B2D007509FB&count=5;THE FRENCH OVEN;1B 491 Dupplin Road;
876EBAC1E6162D33882576B9006A8A36&count=5;MCDONALD'S;FC206 - 1644 Hillside Avenue;
8801BBB33093666388256FF00073D102&count=5;ROSS BAY PUB;7 1516 Fairfield Road;
8861A1930DBC9D3688257A920062F815&count=5;M & J FROZEN FOODS;8 - 626 Esquimalt Road;
8866CCC73BBDEBC68825738D00542E74&count=5;ST. CHARLES MANOR; 1006 St. Charles Avenue;
887AD58A570502AA882569B7000CE690&count=5;SWIFTSURE LOUNGE;427 Belleville Street;
88E51B2EDBBC137E88257B2C005E6E74&count=5;FAIRFIELD MARKET;1275 Oscar Street;
89084283E3D10BB28825796F00690EF4&count=5;CAFE SPRESSO;110 - 645 Tyee Road;
